ID,Name,StudyHours,Attendance,Marks
828,Student_828,4.1,72,
829,Student_829,7.6,55,72.5
830,Student_830,5.1,95,85.7
831,Student_831,3.0,99,90.0
832,Student_832,5.1,93,
833,Student_833,2.3,92,58.1
834,Student_834,2.6,94,55.6
835,Student_835,5.5,70,51.7
836,Student_836,4.8,72,43.5
837,Student_837,9.2,92,60.5
838,Student_838,4.3,65,56.2
839,Student_839,6.2,96,98.0
840,Student_840,6.7,64,73.5
841,Student_841,1.1,74,60.8
842,Student_842,7.0,85,74.8
843,Student_843,2.6,60,48.4
844,Student_844,9.6,100,66.6
845,Student_845,2.3,64,77.6
846,Student_846,4.7,53,69.3
847,Student_847,1.8,70,64.1
848,Student_848,10.0,62,99.6
849,Student_849,5.5,71,92.8
850,Student_850,6.4,68,
851,Student_851,1.6,83,74.2
852,Student_852,7.7,63,77.2
853,Student_853,2.9,53,52.1
854,Student_854,9.1,97,63.7
855,Student_855,2.8,95,42.4
856,Student_856,2.7,76,68.5
857,Student_857,1.3,78,72.6
858,Student_858,5.2,96,53.7
859,Student_859,6.1,77,97.8
860,Student_860,1.6,84,94.6
861,Student_861,8.0,57,83.3
862,Student_862,5.1,65,72.0
863,Student_863,5.7,91,92.2
864,Student_864,5.0,85,47.8
865,Student_865,4.6,79,87.4
866,Student_866,6.0,67,47.5
867,Student_867,2.4,51,87.7
868,Student_868,2.6,98,56.5
869,Student_869,8.8,62,92.6
870,Student_870,9.5,53,96.6
871,Student_871,4.4,75,48.9
872,Student_872,3.4,74,67.8
873,Student_873,6.8,79,98.9
874,Student_874,4.7,60,69.0
875,Student_875,1.2,56,91.8
876,Student_876,2.4,80,
877,Student_877,7.4,93,62.5
878,Student_878,6.9,59,57.1
879,Student_879,1.2,88,52.2
880,Student_880,3.0,62,85.7
881,Student_881,3.1,80,63.2
882,Student_882,7.0,56,70.7
883,Student_883,1.2,98,69.5
884,Student_884,1.9,91,74.6
885,Student_885,8.2,91,91.9
886,Student_886,2.6,85,98.8
887,Student_887,6.9,69,64.5
888,Student_888,3.1,53,89.7
889,Student_889,1.9,56,
890,Student_890,3.2,50,74.4
891,Student_891,7.5,93,97.4
892,Student_892,8.7,94,52.0
893,Student_893,8.5,91,46.6
894,Student_894,4.6,96,91.2
895,Student_895,7.0,62,66.3
896,Student_896,2.8,71,90.8
897,Student_897,3.6,70,93.6
898,Student_898,9.1,71,43.7
899,Student_899,1.1,77,93.0
900,Student_900,1.8,58,66.9
901,Student_901,2.9,75,70.6
902,Student_902,1.2,58,77.6
903,Student_903,2.6,64,95.6
904,Student_904,6.2,59,41.1
905,Student_905,4.8,73,68.6
906,Student_906,9.0,91,
907,Student_907,8.4,57,83.4
908,Student_908,4.1,73,81.6
909,Student_909,3.3,65,48.1
910,Student_910,4.4,98,58.0
911,Student_911,6.3,75,
912,Student_912,3.4,76,88.3
913,Student_913,6.6,86,56.7
914,Student_914,4.7,53,52.6
915,Student_915,6.0,99,97.4
916,Student_916,4.9,73,40.5
917,Student_917,3.7,68,
918,Student_918,9.5,85,80.6
919,Student_919,7.9,88,89.7
920,Student_920,2.3,59,57.7
921,Student_921,8.8,74,40.9
922,Student_922,5.4,67,84.3
923,Student_923,9.1,68,
924,Student_924,8.2,85,84.4
925,Student_925,4.8,59,
926,Student_926,1.2,82,85.2
927,Student_927,3.4,99,86.1
928,Student_928,5.9,54,79.5
929,Student_929,6.7,96,
930,Student_930,3.3,98,90.8
931,Student_931,2.3,84,76.8
932,Student_932,8.5,93,45.3
933,Student_933,9.9,83,69.3
934,Student_934,5.7,82,44.7
935,Student_935,2.5,70,64.5
936,Student_936,3.5,66,64.4
937,Student_937,1.2,71,44.0
938,Student_938,9.2,97,60.9
939,Student_939,2.1,86,46.7
940,Student_940,6.2,64,88.5
941,Student_941,3.5,84,96.9
942,Student_942,6.0,77,44.3
943,Student_943,6.9,56,97.3
944,Student_944,8.5,81,71.4
945,Student_945,2.9,60,58.0
946,Student_946,1.1,59,44.6
947,Student_947,2.2,58,70.0
948,Student_948,9.1,63,87.7
949,Student_949,8.9,62,82.4
950,Student_950,6.4,74,43.0
951,Student_951,6.4,51,
952,Student_952,7.0,84,64.2
953,Student_953,2.6,56,57.7
954,Student_954,9.2,70,53.9
955,Student_955,4.8,67,56.9
956,Student_956,4.4,52,88.2
957,Student_957,5.7,91,95.8
958,Student_958,1.4,88,64.3
959,Student_959,2.5,90,94.4
960,Student_960,7.6,98,59.3
961,Student_961,1.7,60,68.6
962,Student_962,6.4,88,53.6
963,Student_963,3.2,73,78.4
964,Student_964,4.5,95,98.7
965,Student_965,3.6,68,76.2
966,Student_966,4.2,53,61.5
967,Student_967,7.5,75,78.9
968,Student_968,3.7,87,47.4
969,Student_969,6.1,91,93.3
970,Student_970,5.3,81,70.2
971,Student_971,7.0,88,67.0
972,Student_972,9.4,94,
973,Student_973,7.6,95,77.5
974,Student_974,2.9,85,44.3
975,Student_975,1.3,89,81.0
976,Student_976,3.4,86,54.5
977,Student_977,6.4,82,82.8
978,Student_978,1.5,85,89.4
979,Student_979,5.5,52,88.2
980,Student_980,6.4,58,73.2
981,Student_981,4.0,57,71.2
982,Student_982,7.9,82,48.6
983,Student_983,2.0,55,86.5
984,Student_984,1.7,90,56.3
985,Student_985,7.6,88,69.8
986,Student_986,5.5,53,57.1
987,Student_987,7.2,62,
988,Student_988,4.9,98,77.8
989,Student_989,3.2,51,43.3
990,Student_990,8.4,54,84.9
991,Student_991,8.2,93,59.1
992,Student_992,7.3,76,40.0
993,Student_993,3.4,81,70.7
994,Student_994,6.3,70,42.8
995,Student_995,4.2,57,56.6
996,Student_996,1.8,87,82.4
997,Student_997,9.3,57,43.8
998,Student_998,2.2,99,90.4
999,Student_999,9.6,52,40.2
1000,Student_1000,5.0,93,54.8
